Mokslo metai,Klase,Dalykas,Ugdymo proceso savaitė,Turinio sritis,Skyrius,Tema,Skiriamų valandų skaičius 70 proc,Skiriamų valandų skaičius 30 proc,Ugdomi pasiekimai,Ugdomos kompetencijos,Integracija,Pastabos
2024-2025,5,Istorija,22,Lietuvos istorijos pradžiamokslis',15. Abiejų Tautų Respublika: Lietuvos ir Lenkijos bendra valstybė,Apibendrinimo pamoka',,1,,,,Nenumatytos valandos
2024-2025,5,Istorija,23,Lietuvos istorijos pradžiamokslis',15. Abiejų Tautų Respublika: Lietuvos ir Lenkijos bendra valstybė,Kontrolinis darbas ',,1,,,,Nenumatytos valandos
2024-2025,5,Istorija,23,Lietuvos istorijos pradžiamokslis',16. Carų valdžioje,Sukilimai ir sukilėliai. XVIII–XIX a. ATR idėją gynusių kovotojų biografijos',1,,C1,Kūrybiškumo,,Privalomos valandos
2024-2025,5,Istorija,24,Lietuvos istorijos pradžiamokslis',16. Carų valdžioje,Knygnešių epocha',1,,A2,Pažinimo,,Privalomos valandos
2024-2025,5,Istorija,24,Lietuvos istorijos pradžiamokslis',16. Carų valdžioje,"Laisvo žodžio svarba. Laikraščių „Aušra“, „Varpas“, „Tėvynės sargas“ reikšmė lietuvių nacionaliniam judėjimui'",1,,A1,Pažinimo,,Privalomos valandos
2024-2025,5,Istorija,25,Lietuvos istorijos pradžiamokslis',16. Carų valdžioje,Apibendrinimo pamoka',,1,,,,Nenumatytos valandos
2024-2025,5,Istorija,25,Lietuvos istorijos pradžiamokslis',17. Vasario 16-osios Lietuvos Respublika (1918–1940),Nepriklausomybės paskelbimas 1918 m. vasario 16 d.',1,,A3,Kūrybiškumo,,Privalomos valandos
2024-2025,5,Istorija,26,Lietuvos istorijos pradžiamokslis',17. Vasario 16-osios Lietuvos Respublika (1918–1940),Žymiausi Lietuvos kūrėjai ir kūrėjos',1,,D3,Skaitmeninė,,Privalomos valandos
2024-2025,5,Istorija,26,Lietuvos istorijos pradžiamokslis',17. Vasario 16-osios Lietuvos Respublika (1918–1940),Svarbiausi nepriklausomos Lietuvos pasiekimai',1,,C1,Kūrybiškumo,,Privalomos valandos
2024-2025,5,Istorija,27,Lietuvos istorijos pradžiamokslis',17. Vasario 16-osios Lietuvos Respublika (1918–1940),Apibendrinimo pamoka',,1,,,,Nenumatytos valandos
2024-2025,5,Istorija,27,Lietuvos istorijos pradžiamokslis',17. Vasario 16-osios Lietuvos Respublika (1918–1940),Kontrolinis darbas ',,1,,,,Nenumatytos valandos
2024-2025,5,Istorija,28,Integruoto ugdymo veiklų savaitė.',NA,Tema „Asmenybė“',,1,,,,Integruotos savaitės
2024-2025,5,Istorija,28,Integruoto ugdymo veiklų savaitė.',NA,Tema „Asmenybė“',,1,,,,Integruotos savaitės
2024-2025,5,Istorija,29,Lietuvos istorijos pradžiamokslis',18. Antrojo pasaulinio karo baisumai suaugusiųjų ir vaikų istorijose,"Antrojo pasaulinio karo žaizdos Europoje: vaikai kaip aukos, kariai ar karo pabėgėliai'",1,,D1,Pilietiškumo,,Privalomos valandos
2024-2025,5,Istorija,29,Lietuvos istorijos pradžiamokslis',18. Antrojo pasaulinio karo baisumai suaugusiųjų ir vaikų istorijose,Išgyvenusių vaikų prisiminimai ir liudijimai iš Vilniaus ir Kauno getų. Holokausto atminties vietų artimoje aplinkoje istorijos pažinimas ir aplankymas',1,,A1,Kultūrinė,,Ugdymas netradicinėse aplinkose
2024-2025,5,Istorija,30,Lietuvos istorijos pradžiamokslis',18. Antrojo pasaulinio karo baisumai suaugusiųjų ir vaikų istorijose,Sibiro tremčių istorijos atradimas per vaikų-tremtinių liudijimus ir prisiminimus',1,,B2,Pilietiškumo,,Privalomos valandos
2024-2025,5,Istorija,30,Lietuvos istorijos pradžiamokslis',18. Antrojo pasaulinio karo baisumai suaugusiųjų ir vaikų istorijose,Apibendrinimo pamoka',,1,,,,Nenumatytos valandos
2024-2025,5,Istorija,31,Lietuvos istorijos pradžiamokslis',19. XX a. Lietuvos herojai,1919–1920 m. Lietuvos nepriklausomybės karo savanoriai ir kariai',1,,A1,Pažinimo,,Privalomos valandos
2024-2025,5,Istorija,31,Lietuvos istorijos pradžiamokslis',19. XX a. Lietuvos herojai,Žydų gelbėtojai Lietuvoje 1941–1944 m.',1,,A2,Pilietiškumo,,Kultūros pasas
2024-2025,5,Istorija,32,Lietuvos istorijos pradžiamokslis',19. XX a. Lietuvos herojai,Žymiausi Lietuvos partizanai',1,,A2,Skaitmeninė,,Patyriminis ugdymas
2024-2025,5,Istorija,32,Lietuvos istorijos pradžiamokslis',19. XX a. Lietuvos herojai,Apibendrinimo pamoka',,1,,,,Nenumatytos valandos
2024-2025,5,Istorija,33,Lietuvos istorijos pradžiamokslis',19. XX a. Lietuvos herojai,Kontrolinis darbas ',,1,,,,Nenumatytos valandos
2024-2025,5,Istorija,33,Lietuvos istorijos pradžiamokslis',21. Lietuva vėl tampa laisva,1990 m. Kovo 11-osios aktas',1,,A3,Skaitmeninė,,Privalomos valandos
2024-2025,5,Istorija,34,Lietuvos istorijos pradžiamokslis',21. Lietuva vėl tampa laisva,Sovietų mėginimai atimti laisvę: ekonominė blokada ir atsilaikymas prieš agresiją 1991 m. sausio 13-ąją',1,,C1,Kūrybiškumo,,Privalomos valandos
2024-2025,5,Istorija,34,Lietuvos istorijos pradžiamokslis',21. Lietuva vėl tampa laisva,Grįžimas į Europą: Lietuva kaip Europos Sąjungos ir NATO dalis',1,,A2,Pilietiškumo,,Privalomos valandos
2024-2025,5,Istorija,35,Lietuvos istorijos pradžiamokslis',22. Lietuva ir lietuvybė pasaulyje,Litvakai ir jų kultūros sklaida pasaulyje XIX a. – XX a pr.',1,,A3,Komunikavimo,,Privalomos valandos
2024-2025,5,Istorija,35,Lietuvos istorijos pradžiamokslis',22. Lietuva ir lietuvybė pasaulyje,Pasaulio lietuvių bendruomenės istorija',1,,B2,Kultūrinė,,Privalomos valandos
2024-2025,5,Istorija,36,Lietuvos istorijos pradžiamokslis',22. Lietuva ir lietuvybė pasaulyje,Apibendrinimo pamoka',,1,,,,Nenumatytos valandos
2024-2025,5,Istorija,36,Lietuvos istorijos pradžiamokslis',NA,Mokslo metų refleksija',,1,,,,Kultūros pasas
